Company Name,ESG Rating,ESG Report Conclusion
"Darden Restaurants, Inc.2024",BBB,
"Dayforce, Inc.2024",AA,
Domino's Pizza Inc.2021,BBB,
Domino's Pizza Inc.2022,BBB,
Domino's Pizza Inc.2023,BBB,
Eastman Chemical Company2023,A,
Eastman Chemical Company2024,BBB,
"Enphase Energy, Inc.2020",BB ,
"Enphase Energy, Inc.2021",BBB,
"Enphase Energy, Inc.2022",A,
"Enphase Energy, Inc.2023",AA,
Valero Energy Corporation2024,AA,
"Ventas, Inc.2022",AA,
"Ventas, Inc.2023",A,
"Ventas, Inc.2024",BBB,
Veralto Corporation2024,AAA,
"Verisk Analytics, Inc.2023",AAA,
Verizon Communications2022,AA,
Verizon Communications2023,AA,
Vertex Pharmaceuticals Inc2021,A,
Viatris Inc.2021,BB,
Viatris Inc.2022,BB,
Vici Properties Inc.2023,BBB,
Visa Inc.2021,A,
Visa Inc.2022,A,
Visa Inc.2023,A,
Vulcan Materials Company2021,BBB,
W.R. Berkley Corporation2023,BB,
"Walgreens Boots Alliance, Inc2023",AA,
Walmart Inc.2023,BBB,
Waters Corp2020,AAA,
Waters Corp2021,AAA,
Waters Corp2022,AAA,
Waters Corp2023,AAA,
Wells Fargo & Co.2022,BB,
Wells Fargo & Co.2024,BB,
Welltower Inc.2020,A,
Welltower Inc.2021,AA,
Welltower Inc.2022,AAA,
Welltower Inc.2023,AA,
"West Pharmaceutical Services, Inc.2020",AAA,
"West Pharmaceutical Services, Inc.2021",AAA,
"West Pharmaceutical Services, Inc.2022",AA,
"West Pharmaceutical Services, Inc.2023",AA,
Western Digital Corp.2021,BBB,
Western Digital Corp.2023,AA,
Westrock Company2021,A,
Westrock Company2022,A,
Wynn Resorts Ltd2020,CCC,
Wynn Resorts Ltd2021,BB,
Wynn Resorts Ltd2022,BB,
"Xcel Energy, Inc.2023",AA,
"Xcel Energy, Inc.2024",AA,
Xylem Inc2023,AAA,
"Zimmer Biomet Holdings, Inc.2020",B,
"Zimmer Biomet Holdings, Inc.2021",BB,
"Zimmer Biomet Holdings, Inc.2022",A,
"Zimmer Biomet Holdings, Inc.2023",AA,
Zoetis Inc.2020,A,
Zoetis Inc.2021,AA,
Zoetis Inc.2022,AA,
Zoetis Inc.2023,AA,
Paccar Inc 2024,A,
Old Dominion Freight Line 2022,AA,
Nucor Corporation 2023,AA,
Nvidia Corp 2024,AAA,
"Nrg Energy, Inc. 2023",BB,
Nordson Corp 2023,BBB,
Newmont Corporation 2023,AA,
"Nasdaq, Inc. 2023",AA,
"Motorola Solutions, Inc. 2023",AA,
Morgan Stanley 2023,AA,
Morgan Stanley 2022,AA,
"Metlife, Inc.2023",AA,
"Match Group, Inc 2024",BB,
"Match Group, Inc 2023",BB,
"Match Group, Inc 2022",BB,
"Match Group, Inc 2021",BB,
Keycorp,A,
Keurig Dr Pepper Inc.,AA,
Kenvue Inc.,AA,
Jpmorgan Chase & Co.,A,
Johnson & Johnson,A,
Jb Hunt Transport Services Inc,A,
Jacobs Solutions Inc.,AA,
Intuitive Surgical Inc.,A,
International Flavors & Fragrances Inc.,AA,
International Business Machines Corporation,AA,
Incyte Genomics Inc,AA,
Huntington Bancshares Inc,AA,
Hubbell Incorporated,AA,
Howmet Aerospace Inc.,A,
"Home Depot, Inc.",AA,
Goldman Sachs Group Inc.,A,
Gilead Sciences Inc,AAA,
"Franklin Resources, Inc.",BBB,
Constellation Energy Corporation 2024,BBB,
"Consolidated Edison, Inc. 2023",A,
Conocophillips 2023,AA,
"Conagra Brands, Inc. 2023",AA,
Comcast Corp 2024,BBB,
Colgate-Palmolive Company 2023-24,A,
Cognizant Technology Solutions 2022,A,
Coca-Cola Company 2022,AA,
Cms Energy Corporation 2023,AA,
Cme Group Inc. 2023,BBB,
Clorox Company 2024,AAA,
"Citizens Financial Group, Inc. 2023",A,
"Cisco Systems, Inc. 2023",AA,
Chubb Limited 2023,BBB,
"Chipotle Mexican Grill, Inc. 2023",BBB,
Chevron Corporation 2023,A,
"Charles River Laboratories International, Inc. 2023",A,
"Cf Industries Holding, Inc. 2022",BBB,
"Centerpoint Energy, Inc. 2023",A,
"Warner Bros. Discovery, Inc. Series a2023",BBB,
"Waste Management, Inc.2024",A,
