Name,ESG Rating,ESG Report
"Darden Restaurants, Inc.2024",BBB,
"Dayforce, Inc.2024",AA,
Domino's Pizza Inc.2021,BBB,
Domino's Pizza Inc.2022,BBB,
Domino's Pizza Inc.2023,BBB,
Eastman Chemical Company2023,A,
Eastman Chemical Company2024,BBB,
"Enphase Energy, Inc.2020",BB ,
"Enphase Energy, Inc.2021",BBB,
"Enphase Energy, Inc.2022",A,
"Enphase Energy, Inc.2023",AA,
Valero Energy Corporation2024,AA,
"Ventas, Inc.2022",AA,
"Ventas, Inc.2023",A,
"Ventas, Inc.2024",BBB,
Veralto Corporation2024,AAA,
"Verisk Analytics, Inc.2023",AAA,
Verizon Communications2022,AA,
Verizon Communications2023,AA,
Vertex Pharmaceuticals Inc2021,A,
Viatris Inc.2021,BB,
Viatris Inc.2022,BB,
Vici Properties Inc.2023,BBB,
Visa Inc.2021,A,
Visa Inc.2022,A,
Visa Inc.2023,A,
Vulcan Materials Company2021,BBB,
W.R. Berkley Corporation2023,BB,
"Walgreens Boots Alliance, Inc2023",AA,
Walmart Inc.2023,BBB,
Waters Corp2020,AAA,
Waters Corp2021,AAA,
Waters Corp2022,AAA,
Waters Corp2023,AAA,
Wells Fargo & Co.2022,BB,
Wells Fargo & Co.2024,BB,
Welltower Inc.2020,A,
Welltower Inc.2021,AA,
Welltower Inc.2022,AAA,
Welltower Inc.2023,AA,
"West Pharmaceutical Services, Inc.2020",AAA,
"West Pharmaceutical Services, Inc.2021",AAA,
"West Pharmaceutical Services, Inc.2022",AA,
"West Pharmaceutical Services, Inc.2023",AA,
Western Digital Corp.2021,BBB,
Western Digital Corp.2023,AA,
Westrock Company2021,A,
Westrock Company2022,A,
Wynn Resorts Ltd2020,CCC,
Wynn Resorts Ltd2021,BB,
Wynn Resorts Ltd2022,BB,
"Xcel Energy, Inc.2023",AA,
"Xcel Energy, Inc.2024",AA,
Xylem Inc2023,AAA,
"Zimmer Biomet Holdings, Inc.2020",B,
"Zimmer Biomet Holdings, Inc.2021",BB,
"Zimmer Biomet Holdings, Inc.2022",A,
"Zimmer Biomet Holdings, Inc.2023",AA,
Zoetis Inc.2020,A,
Zoetis Inc.2021,AA,
Zoetis Inc.2022,AA,
Zoetis Inc.2023,AA,
